            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459979.958333333, A.D. 2023-Feb-04 11:00:00.0000, -7.101969269936941E-01,  7.064508886065145E-01, -1.680781837770880E-03, -1.252095739896440E-02, -1.230317420337701E-02,  7.507053328070940E-05,  5.785487968870425E-03,  1.001726189211307E+00,  2.002852117464485E-04,
2459980.000000000, A.D. 2023-Feb-04 12:00:00.0000, -7.107184486807462E-01,  7.059380662953443E-01, -1.677652268623790E-03, -1.251208248668788E-02, -1.231229565635626E-02,  7.514876617317959E-05,  5.785536177752193E-03,  1.001734536320432E+00,  2.003760343921881E-04,
2459980.041666667, A.D. 2023-Feb-04 13:00:00.0000, -7.112396004432693E-01,  7.054248640582192E-01, -1.674519442065536E-03, -1.250320102291664E-02, -1.232141064877817E-02,  7.522688893065257E-05,  5.785584408496210E-03,  1.001742887214888E+00,  2.004669077826088E-04,
2459980.083333333, A.D. 2023-Feb-04 14:00:00.0000, -7.117603820086682E-01,  7.049112821642501E-01, -1.671383362893143E-03, -1.249431302391480E-02, -1.233051918303479E-02,  7.530489246500066E-05,  5.785632661115139E-03,  1.001751241896868E+00,  2.005578351454823E-04,
2459980.125000000, A.D. 2023-Feb-04 15:00:00.0000, -7.122807931041987E-01,  7.043973208829705E-01, -1.668244035671801E-03, -1.248541847105098E-02, -1.233962124006144E-02,  7.538279412797103E-05,  5.785680935621150E-03,  1.001759600368479E+00,  2.006488099714661E-04,
2459980.166666667, A.D. 2023-Feb-04 16:00:00.0000, -7.128008334571018E-01,  7.038829804841743E-01, -1.665101464855785E-03, -1.247651737935024E-02, -1.234871682281562E-02,  7.546058486655930E-05,  5.785729232025803E-03,  1.001767962631722E+00,  2.007398341884015E-04,
2459980.208333333, A.D. 2023-Feb-04 17:00:00.0000, -7.133205027950748E-01,  7.033682612377614E-01, -1.661955655067858E-03, -1.246760975504430E-02, -1.235780592479363E-02,  7.553826443842756E-05,  5.785777550341353E-03,  1.001776328688720E+00,  2.008309101321710E-04,
2459980.250000000, A.D. 2023-Feb-04 18:00:00.0000, -7.138398008460280E-01,  7.028531634138666E-01, -1.658806610944180E-03, -1.245869560268142E-02, -1.236688854102061E-02,  7.561583273188463E-05,  5.785825890580279E-03,  1.001784698541632E+00,  2.009220378651720E-04,
2459980.291666667, A.D. 2023-Feb-04 19:00:00.0000, -7.143587273380662E-01,  7.023376872828295E-01, -1.655654337130423E-03, -1.244977492800901E-02, -1.237596466687590E-02,  7.569328947802607E-05,  5.785874252755095E-03,  1.001793072192626E+00,  2.010132180555808E-04,
2459980.333333333, A.D. 2023-Feb-04 20:00:00.0000, -7.148772819994635E-01,  7.018218331152088E-01, -1.652498838295070E-03, -1.244084772932296E-02, -1.238503429508053E-02,  7.577062921967120E-05,  5.785922636878279E-03,  1.001801449643862E+00,  2.011044479265883E-04,
2459980.375000000, A.D. 2023-Feb-04 21:00:00.0000, -7.153954645577432E-01,  7.013056011809337E-01, -1.649340121379013E-03, -1.243191398299981E-02, -1.239409747222503E-02,  7.584775766592706E-05,  5.785971042955096E-03,  1.001809830896252E+00,  2.011956714639469E-04,
2459980.416666667, A.D. 2023-Feb-04 22:00:00.0000, -7.159132747409991E-01,  7.007889917495302E-01, -1.646178193285443E-03, -1.242297372777811E-02, -1.240315415072105E-02,  7.592476921178228E-05,  5.786019470989923E-03,  1.001818215950553E+00,  2.012869428476828E-04,
2459980.458333333, A.D. 2023-Feb-04 23:00:00.0000, -7.164307122780799E-01,  7.002720050921192E-01, -1.643013058712575E-03, -1.241402696782249E-02, -1.241220431990728E-02,  7.600166854111006E-05,  5.786067920995079E-03,  1.001826604808899E+00,  2.013782658391347E-04,
2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000, -7.169477768980155E-01,  6.997546414800430E-01, -1.639844722356186E-03, -1.240507370627170E-02, -1.242124797410643E-02,  7.607845485737122E-05,  5.786116392982918E-03,  1.001834997473428E+00,  2.014696399789448E-04,
$$EOE
**************************************************************************************************************************************************************************************************************************************************************************
 
TIME

  Barycentric Dynamical Time ("TDB" or T_eph) output was requested. This
continuous coordinate time is equivalent to the relativistic proper time
of a clock at rest in a reference frame co-moving with the solar system
barycenter but outside the system's gravity well. It is the independent
variable in the solar system relativistic equations of motion.

  TDB runs at a uniform rate of one SI second per second and is independent
of irregularities in Earth's rotation.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

REFERENCE FRAME AND COORDINATES

  Ecliptic at the standard reference epoch

    Reference epoch: J2000.0
    X-Y plane: adopted Earth orbital plane at the reference epoch
               Note: IAU76 obliquity of 84381.448 arcseconds wrt ICRF X-Y plane
    X-axis   : ICRF
    Z-axis   : perpendicular to the X-Y plane in the directional (+ or -) sense
               of Earth's north pole at the reference epoch.

  Symbol meaning [1 au= 149597870.700 km, 1 day= 86400.0 s]:

    JDTDB    Julian Day Number, Barycentric Dynamical Time
      X      X-component of position vector (au)
      Y      Y-component of position vector (au)
      Z      Z-component of position vector (au)
      VX     X-component of velocity vector (au/day)                           
      VY     Y-component of velocity vector (au/day)                           
      VZ     Z-component of velocity vector (au/day)                           
      LT     One-way down-leg Newtonian light-time (day)
      RG     Range; distance from coordinate center (au)
      RR     Range-rate; radial velocity wrt coord. center (au/day)

ABERRATIONS AND CORRECTIONS

 Geometric state vectors have NO corrections or aberrations applied.

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/horizons_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Inquiries   : Jon.D.Giorgini@jpl.nasa.gov
*******************************************************************************
